ISO3Code,OfficialName,Status.U5MR
AFG,Afghanistan,Acceleration Needed
AGO,Angola,Acceleration Needed
AIA,Anguilla,Achieved
ALB,Albania,Achieved
AND,Andorra,Achieved
ARE,United Arab Emirates,Achieved
ARG,Argentina,Achieved
ARM,Armenia,Achieved
ATG,Antigua and Barbuda,Achieved
AUS,Australia,Achieved
AUT,Austria,Achieved
AZE,Azerbaijan,Achieved
BEN,Benin,Acceleration Needed
BEL,Belgium,Achieved
BWA,Botswana,Acceleration Needed
BFA,Burkina Faso,Acceleration Needed
BGD,Bangladesh,On Track
BGR,Bulgaria,Achieved
BHR,Bahrain,Achieved
BHS,Bahamas,Achieved
BIH,Bosnia and Herzegovina,Achieved
BLR,Belarus,Achieved
BLZ,Belize,Achieved
BOL,Bolivia (Plurinational State of),Achieved
BRA,Brazil,Achieved
BRB,Barbados,Achieved
BRN,Brunei Darussalam,Achieved
BTN,Bhutan,Achieved
BDI,Burundi,Acceleration Needed
CMR,Cameroon,Acceleration Needed
CAN,Canada,Achieved
CHE,Switzerland,Achieved
CHL,Chile,Achieved
CHN,China,Achieved
CAF,Central African Republic,Acceleration Needed
TCD,Chad,Acceleration Needed
COM,Comoros,Acceleration Needed
COG,Congo,Acceleration Needed
COK,Cook Islands,Achieved
COL,Colombia,Achieved
CIV,Côte d'Ivoire,Acceleration Needed
CPV,Cabo Verde,Achieved
CRI,Costa Rica,Achieved
CUB,Cuba,Achieved
CYP,Cyprus,Achieved
CZE,Czechia,Achieved
DEU,Germany,Achieved
COD,Democratic Republic of the Congo,Acceleration Needed
DMA,Dominica,Acceleration Needed
DNK,Denmark,Achieved
DOM,Dominican Republic,Acceleration Needed
DZA,Algeria,Achieved
ECU,Ecuador,Achieved
EGY,Egypt,Achieved
DJI,Djibouti,Acceleration Needed
ESP,Spain,Achieved
EST,Estonia,Achieved
ETH,Ethiopia,Acceleration Needed
FIN,Finland,Achieved
GNQ,Equatorial Guinea,Acceleration Needed
FRA,France,Achieved
FSM,Micronesia (Federated States of),Achieved
ERI,Eritrea,Acceleration Needed
GBR,United Kingdom,Achieved
GEO,Georgia,Achieved
SWZ,Eswatini,Acceleration Needed
FJI,Fiji,Acceleration Needed
GAB,Gabon,Acceleration Needed
GMB,Gambia,Acceleration Needed
GHA,Ghana,Acceleration Needed
GRC,Greece,Achieved
GRD,Grenada,Achieved
GTM,Guatemala,Achieved
GUY,Guyana,On Track
HND,Honduras,Achieved
HRV,Croatia,Achieved
GIN,Guinea,Acceleration Needed
HUN,Hungary,Achieved
IDN,Indonesia,Achieved
IND,India,On Track
IRL,Ireland,Achieved
IRN,Iran (Islamic Republic of),Achieved
IRQ,Iraq,Achieved
ISL,Iceland,Achieved
ISR,Israel,Achieved
ITA,Italy,Achieved
JAM,Jamaica,Achieved
JOR,Jordan,Achieved
JPN,Japan,Achieved
KAZ,Kazakhstan,Achieved
GNB,Guinea-Bissau,Acceleration Needed
KGZ,Kyrgyzstan,Achieved
KHM,Cambodia,Achieved
HTI,Haiti,Acceleration Needed
KNA,Saint Kitts and Nevis,Achieved
KOR,Republic of Korea,Achieved
KWT,Kuwait,Achieved
KEN,Kenya,Acceleration Needed
LBN,Lebanon,Achieved
KIR,Kiribati,Acceleration Needed
LBY,Libya,Achieved
LCA,Saint Lucia,Achieved
LKA,Sri Lanka,Achieved
LAO,Lao People's Democratic Republic,Acceleration Needed
LTU,Lithuania,Achieved
LUX,Luxembourg,Achieved
LVA,Latvia,Achieved
MAR,Morocco,Achieved
MCO,Monaco,Achieved
MDA,Republic of Moldova,Achieved
LSO,Lesotho,Acceleration Needed
MDV,Maldives,Achieved
MEX,Mexico,Achieved
MHL,Marshall Islands,On Track
MKD,North Macedonia,Achieved
LBR,Liberia,Acceleration Needed
MLT,Malta,Achieved
MDG,Madagascar,Acceleration Needed
MNE,Montenegro,Achieved
MNG,Mongolia,Achieved
MLI,Mali,Acceleration Needed
MRT,Mauritania,Acceleration Needed
MSR,Montserrat,Achieved
MUS,Mauritius,Achieved
MWI,Malawi,Acceleration Needed
MYS,Malaysia,Achieved
MOZ,Mozambique,Acceleration Needed
MMR,Myanmar,Acceleration Needed
NAM,Namibia,Acceleration Needed
NIC,Nicaragua,Achieved
NIU,Niue,Achieved
NLD,Netherlands (Kingdom of the),Achieved
NOR,Norway,Achieved
NPL,Nepal,On Track
NRU,Nauru,On Track
NZL,New Zealand,Achieved
OMN,Oman,Achieved
NER,Niger,Acceleration Needed
PAN,Panama,Achieved
PER,Peru,Achieved
PHL,Philippines,Acceleration Needed
PLW,Palau,Achieved
NGA,Nigeria,Acceleration Needed
POL,Poland,Achieved
PRK,Democratic People's Republic of Korea,Achieved
PRT,Portugal,Achieved
PRY,Paraguay,Achieved
PSE,State of Palestine,Achieved
QAT,Qatar,Achieved
RKS,Kosovo (UNSCR 1244),Achieved
ROU,Romania,Achieved
RUS,Russian Federation,Achieved
PAK,Pakistan,Acceleration Needed
SAU,Saudi Arabia,Achieved
PNG,Papua New Guinea,Acceleration Needed
SEN,Senegal,Acceleration Needed
SGP,Singapore,Achieved
SLB,Solomon Islands,Achieved
RWA,Rwanda,Acceleration Needed
SLV,El Salvador,Achieved
SMR,San Marino,Achieved
SLE,Sierra Leone,Acceleration Needed
SRB,Serbia,Achieved
SOM,Somalia,Acceleration Needed
STP,Sao Tome and Principe,Achieved
SUR,Suriname,Achieved
SVK,Slovakia,Achieved
SVN,Slovenia,Achieved
SWE,Sweden,Achieved
ZAF,South Africa,Acceleration Needed
SYC,Seychelles,Achieved
SYR,Syrian Arab Republic,Achieved
TCA,Turks and Caicos Islands,Achieved
SSD,South Sudan,Acceleration Needed
SDN,Sudan,Acceleration Needed
THA,Thailand,Achieved
TJK,Tajikistan,On Track
TLS,Timor-Leste,Acceleration Needed
TGO,Togo,Acceleration Needed
TON,Tonga,Achieved
TTO,Trinidad and Tobago,Achieved
TUN,Tunisia,Achieved
TUR,Türkiye,Achieved
TUV,Tuvalu,Achieved
TZA,United Republic of Tanzania,Acceleration Needed
TKM,Turkmenistan,Acceleration Needed
UKR,Ukraine,Achieved
URY,Uruguay,Achieved
USA,United States,Achieved
UZB,Uzbekistan,Achieved
VCT,Saint Vincent and the Grenadines,Achieved
VEN,Venezuela (Bolivarian Republic of),Achieved
VGB,British Virgin Islands,Achieved
VNM,Viet Nam,Achieved
VUT,Vanuatu,Achieved
WSM,Samoa,Achieved
UGA,Uganda,Acceleration Needed
YEM,Yemen,Acceleration Needed
ZMB,Zambia,Acceleration Needed
ZWE,Zimbabwe,Acceleration Needed
