DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,AGE_AT_BIRTH:Age at Birth,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MOTHER_EDUCATION:Mother's Education Level,DATA_SOURCE:Data Source,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SERIES_FOOTNOTE:Series footnote,SUB_SECTOR:Sub Sector,SOWC_FLAG_A:SOWC flag A,DATA_SOURCE_PRIORITY:Data source priority,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,OBS_FOOTNOTE:Observation footnote,SOURCE_LINK:Citation of or link to the data source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T19: 15 to 19 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,18.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,10,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,14.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,15.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,20.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,37.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,17.7,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_21: Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,2020,24.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_20: Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,2018,31.2,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,Y15T49: 15 to 49 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_21: Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,2020,40.8,0: Units,PCNT: %,,ANTENATAL,,1,RP: Reported,F: Free,,,,,,,EOF: End of fieldwork,2010-2020
